Nom	Nature	Saisons	Stock	Limite réappro
Abricot	Fruit	Eté	42	12
Ail	Légume	Eté	51	17
Ananas	Fruit	Eté	57	14
Artichaut	Légume	Printemps 	57	11
Asperge	Légume	Printemps 	69	20
Aubergine	Légume	Printemps 	60	18
Banane	Fruit	Printemps 	39	7
Basilic	Légume	Printemps 	45	13
Bleu	Légume	Hiver	-1	0
Brocoli	Légume	Printemps 	36	10
Câpre	Légume	Printemps 	72	10
Carotte	Légume	Eté	60	15
Cassis	Fruit	Eté	39	13
Céleri	Légume	Eté	60	18
Cèpe	Légume	Printemps 	54	8
Cerise	Fruit	Printemps 	57	17
Châtaigne	Fruit	Printemps 	48	4
Chou	Légume	Printemps 	51	17
Chou-Fleur	Légume	Printemps 	72	25
Citron	Fruit	Eté	72	14
Citron	Fruit	Eté	72	14
Clémentine	Fruit	Eté	45	6
Concombre	Légume	Printemps 	63	12
Courgette	Légume	Printemps 	42	6
Échalote	Légume	Printemps 	51	17
Endive	Légume	Printemps 	39	11
Épinard	Légume	Printemps 	72	7
Fenouil	Légume	Printemps 	39	9
Fève	Légume	Eté	66	6
Figue	Fruit	Eté	72	10
Fraise	Fruit	Eté	30	9
Fraise des Bois	Fruit	Printemps 	45	4
Framboise	Fruit	Printemps 	75	22
Groseille	Fruit	Printemps 	72	18
Haricot	Légume	Printemps 	57	8
Jaune	Fruit	Printemps 	69	24
Kiwi	Fruit	Printemps 	48	12
Laitue	Légume	Printemps 	30	9
Mâche	Légume	Eté	39	13
Mandarine	Fruit	Hiver	57	17
Marron	Fruit	Hiver	51	17
Melon	Fruit	Hiver	36	3
Menthe	Légume	Automne 	66	23
Mirabelle	Fruit	Automne 	15	25
Mûre	Fruit	Automne 	69	20
Myrtille	Fruit	Automne 	45	15
Navet	Légume	Automne 	30	6
Nectarine	Fruit	Automne 	60	15
Oignon	Légume	Automne 	57	17
Olive	Légume	Hiver	72	10
Orange	Fruit	Hiver	66	9
Pamplemousse	Fruit	Hiver	51	12
Pêche	Fruit	Automne 	69	24
Pêche	Fruit	Automne 	69	24
Persil	Légume	Automne 	33	3
Petit	Légume	Automne 	33	9
Piment	Légume	Automne 	42	4
Poire	Fruit	Automne 	75	22
Poireau	Légume	Automne 	63	9
Pois	Légume	Hiver	48	7
Pois	Légume	Hiver	48	7
Pois chiche	Légume	Printemps 	66	6
Poivron	Légume	Hiver	30	7
Pomme	Fruit	Automne 	17	50
Potiron	Légume	Automne 	69	17
Prune	Fruit	Automne 	51	7
Radis	Légume	Automne 	57	14
Raisin	Fruit	Automne 	66	9
Rhubarbe	Fruit	Automne 	7	10
Rouge	Légume	Hiver	-1	0
Tomate	Fruit	Automne 	69	6
Vert	Légume	Hiver	-1	0
Vert	Légume	Hiver	-1	0
